iter	Passed	Remaining
896	4777	548
897	4783	543
898	4788	538
899	4794	532
900	4800	527
901	4805	522
902	4811	516
903	4818	511
904	4824	506
905	4831	501
906	4838	496
907	4844	490
908	4850	485
909	4856	480
910	4861	474
911	4867	469
912	4873	464
913	4880	459
914	4887	453
915	4893	448
916	4900	443
917	4906	438
918	4913	433
919	4918	427
920	4924	422
921	4930	417
922	4937	411
923	4944	406
924	4950	401
925	4956	396
926	4962	390
927	4968	385
928	4973	380
929	4980	374
930	4985	369
931	4992	364
932	4998	358
933	5004	353
934	5009	348
935	5015	342
936	5021	337
937	5027	332
938	5032	326
939	5039	321
940	5045	316
941	5051	311
942	5057	305
943	5062	300
944	5067	294
945	5073	289
946	5079	284
947	5085	278
948	5090	273
949	5096	268
950	5101	262
951	5106	257
952	5111	252
953	5116	246
954	5122	241
955	5128	236
956	5135	230
957	5140	225
958	5147	220
959	5153	214
960	5159	209
961	5164	204
962	5170	198
963	5176	193
964	5182	187
965	5187	182
966	5193	177
967	5199	171
968	5205	166
969	5211	161
970	5217	155
971	5222	150
972	5228	145
973	5234	139
974	5239	134
975	5245	128
976	5251	123
977	5257	118
978	5262	112
979	5268	107
980	5274	102
981	5280	96
982	5285	91
983	5291	86
984	5297	80
985	5302	75
986	5308	69
987	5314	64
988	5319	59
989	5325	53
990	5332	48
991	5336	43
992	5342	37
993	5347	32
994	5352	26
995	5358	21
996	5364	16
997	5370	10
998	5375	5
999	5381	0
