id,descripcion,tipo_datos,requerido,unidad
nv_0100_q2,segundo quintil del nº de días con visibilidad superior o igual a 50 m e inferior a 100 m en el mes/año,string,False,Nº de días
nv_0100_q3,tercer quintil del nº de días con visibilidad superior o igual a 50 m e inferior a 100 m en el mes/año,string,False,Nº de días
nv_0100_q4,cuarto quintil del nº de días con visibilidad superior o igual a 50 m e inferior a 100 m en el mes/año,string,False,Nº de días
nv_0100_s,desviación típica del nº de días con visibilidad superior o igual a 50 m e inferior a 100 m en el mes/año,string,False,Nº de días
nv_1000_cv,coeficiente de variación de Pearson del nº de días con visibilidad  superior o igual a 100 m e inferior a 1 km en el mes/año,string,False,
nv_1000_max,valor máximo del nº de días con visibilidad  superior o igual a 100 m e inferior a 1 km en el mes/año,string,False,Nº de días
nv_1000_md,media aritmética del nº de días con visibilidad  superior o igual a 100 m e inferior a 1 km en el mes/año,string,False,Nº de días
nv_1000_min,valor mínimo del nº de días con visibilidad  superior o igual a 100 m e inferior a 1 km en el mes/año,string,False,Nº de días
nv_1000_mn,mediana del nº de días con visibilidad  superior o igual a 100 m e inferior a 1 km en el mes/año,string,False,Nº de días
nv_1000_n,frecuencia absoluta (nº de años con dato disponible) del nº de días con visibilidad  superior o igual a 100 m e inferior a 1 km en el mes/año,string,False,Nº de días
nv_1000_q1,primer quintil del nº de días con visibilidad  superior o igual a 100 m e inferior a 1 km en el mes/año,string,False,Nº de días
nv_1000_q2,segundo quintil del nº de días con visibilidad  superior o igual a 100 m e inferior a 1 km en el mes/año,string,False,Nº de días
nv_1000_q3,tercer quintil del nº de días con visibilidad  superior o igual a 100 m e inferior a 1 km en el mes/año,string,False,Nº de días
nv_1000_q4,cuarto quintil del nº de días con visibilidad  superior o igual a 100 m e inferior a 1 km en el mes/año,string,False,(%)
nv_1000_s,desviación típica del nº de días con visibilidad  superior o igual a 100 m e inferior a 1 km en el mes/año,string,False,Nº de días
nw_55_cv,coeficiente de variación de Pearson del nº de días de velocidad del viento mayor o igual a 55 km/h en el mes/año,string,False,
nw_55_max,valor máximo del nº de días de velocidad del viento mayor o igual a 55 km/h en el mes/año,string,False,Nº de días
nw_55_md,media aritmética del nº de días de velocidad del viento mayor o igual a 55 km/h en el mes/año,string,False,Nº de días
nw_55_min,valor mínimo del nº de días de velocidad del viento mayor o igual a 55 km/h en el mes/año,string,False,Nº de días
nw_55_mn,mediana del nº de días de velocidad del viento mayor o igual a 55 km/h en el mes/año,string,False,Nº de días
nw_55_n,frecuencia absoluta (nº de años con dato disponible) del nº de días de velocidad del viento mayor o igual a 55 km/h en el mes/año,string,False,Nº de días
nw_55_q1,primer quintil del nº de días de velocidad del viento mayor o igual a 55 km/h en el mes/año,string,False,Nº de días
nw_55_q2,segundo quintil del nº de días de velocidad del viento mayor o igual a 55 km/h en el mes/año,string,False,Nº de días
nw_55_q3,tercer quintil del nº de días de velocidad del viento mayor o igual a 55 km/h en el mes/año,string,False,Nº de días
nw_55_q4,cuarto quintil del nº de días de velocidad del viento mayor o igual a 55 km/h en el mes/año,string,False,Nº de días
nw_55_s,desviación típica del nº de días de velocidad del viento mayor o igual a 55 km/h en el mes/año,string,False,Nº de días
nw_91_cv,coeficiente de variación de Pearson del nº de días de velocidad del viento mayor o igual a 91 km/h en el mes/año,string,False,
nw_91_max,valor máximo del nº de días de velocidad del viento mayor o igual a 91 km/h en el mes/año,string,False,Nº de días
nw_91_md,media aritmética del nº de días de velocidad del viento mayor o igual a 91 km/h en el mes/año,string,False,Nº de días
nw_91_min,valor mínimo del nº de días de velocidad del viento mayor o igual a 91 km/h en el mes/año,string,False,Nº de días
nw_91_mn,mediana del nº de días de velocidad del viento mayor o igual a 91 km/h en el mes/año,string,False,Nº de días
nw_91_n,frecuencia absoluta (nº de años con dato disponible) del nº de días de velocidad del viento mayor o igual a 91 km/h en el mes/año,string,False,Nº de días
nw_91_q1,primer quintil del nº de días de velocidad del viento mayor o igual a 91 km/h en el mes/año,string,False,Nº de días
nw_91_q2,segundo quintil del nº de días de velocidad del viento mayor o igual a 91 km/h en el mes/año,string,False,Nº de días
nw_91_q3,tercer quintil del nº de días de velocidad del viento mayor o igual a 91 km/h en el mes/año,string,False,Nº de días
nw_91_q4,cuarto quintil del nº de días de velocidad del viento mayor o igual a 91 km/h en el mes/año,string,False,Nº de días
